artwork_id,display_name,artist_id
ARTIC-131a927a-05db-f32b-0fe8-b7cad95ebe09,"Noguchi Shohin (Japanese, 1847-1917)",Q11645148
ARTIC-132b782d-54e6-70e1-18f9-211468c09099,"Camille Pissarro (French, 1830-1903)",Q134741
ARTIC-13a251ba-2c7a-2d0c-3f65-820c0e1f1a39,"Sebastiano del Piombo (Italian, c. 1485–1547)",Q285423
ARTIC-13b26391-274d-32c3-f2d2-2493b7dd8fbe,"Style of Honoré Victorin Daumier (French, 1808–1879)",
ARTIC-13c116df-e5a6-9e6c-0896-507529224415,"Samuel Colman (American, 1832-1920)",Q1751436
ARTIC-13c3192f-2844-7eb9-4db5-3cd7ce4eb66a," Tawaraya Sôtatsu (Japanese, active 18th century)",Q1281252
ARTIC-13d31515-70ec-197f-59f6-b71dc6f60903,"Hans Thoma (German, 1839-1924)",Q678094
ARTIC-13e89aac-382a-ae03-aa87-48ed1740c28d,"Francisco José de Goya y Lucientes (Spanish, 1746–1828)",Q5432
ARTIC-14060224-d2c8-a442-d410-58043d6bc861,"Frederic Remington (American, 1861–1909)",Q560787
ARTIC-140c79cb-54c2-d8c4-8468-9a770212d98d,Artist unknown (Japanese),
ARTIC-1423f5c9-d2be-f951-732e-7e89fe50f59f,"Will Hicock Low (American, 1853-1932)",Q8002863
ARTIC-147e3ce7-1c08-fa84-57f7-f59d4ec90d3c,"Pierre-Auguste Renoir (French, 1841-1919)",Q39931
ARTIC-14dd6a9c-11d0-0ed1-abe5-91444e7715f9,"Jonathan Richardson, the elder (British, 1667-1745)",
ARTIC-14f54f04-6bf4-f75f-7a85-2317578071fc,"After Giovanni Bellini (Italian, 1428/30–1516)",
ARTIC-1501b057-0441-f1fa-e949-298b06ec6270,"Jean-Baptiste-Camille Corot (French, 1796–1875)",Q148475
ARTIC-15528954-446e-cb43-cbb4-c22dc82c1bd0,"David Gilmour Blythe (American, 1815-1865)",Q5234146
ARTIC-156aaed6-fe3c-a13c-f39e-55f381205929,"Henri de Toulouse-Lautrec (French, 1864-1901)",Q82445
ARTIC-158bdd65-2dd1-7def-98a7-d5671decdf62,Eastern Mediterranean or Italian,
ARTIC-15a0f792-0c21-406e-3e4d-ac8c2393c873,"Vilhelm Hammershøi (Danish, 1864–1916)",Q380706
ARTIC-15a87438-df7b-8fe1-203f-e0b4d36236a0,"Peter Paul Rubens (Flemish, 1577–1640)",Q5599
ARTIC-15b4769f-9e37-db77-fab3-2668565173fa,Southern Tibet,
ARTIC-15e052cc-2788-2b41-db7e-836c181c296d,China,
ARTIC-15e80e01-422d-ca0a-f773-01aff4052565,"Charles Louis-Lucien Muller (French, 1815-1892)",Q2959887
ARTIC-1623c4af-9ac2-fd80-9e73-05f7d402c6bd,"Giovanni Battista Tiepolo (Italian, 1696-1770)",Q186202
ARTIC-16369b49-adca-a356-5aa1-7265fd45870e,"Central Italian (Italian, 15th century)",
ARTIC-1688e477-1197-7d1a-0ec3-5f7512b0b43e,"India (Rajasthan, Jaipur)",
ARTIC-169f6561-a7d8-2f4e-8456-36e0dec412de,"Yang Jin  (Chinese,1644-1728)",Q16240012
ARTIC-16d830b7-d681-6c88-379b-9585c655b6b7,"Piero di Cosimo (Italian, 1461/62-1521)",Q280851
ARTIC-16e53257-ade2-4f5d-3521-2bc9666bc4cf,"Henri Edmond Cross (French, 1856–1910)",Q555224
ARTIC-16facedd-c8c3-fbfc-a854-23c2d710a889,"Childe Hassam (American, 1859-1935)",Q737635
ARTIC-173911e9-689c-234c-ec2b-e8c2c6c76586,Austrian or Bavarian,
ARTIC-173ec65a-bc7e-067c-fed1-1677bf5f26a9,"Marsden Hartley (American, 1877–1943)",Q553259
ARTIC-18092196-50ae-3ff1-9205-1b3110e966c3,"Thomas Cole (American, born England, 1801–1848)",Q334001
ARTIC-180cdc30-fead-cf71-8f2c-b3fbb929f457,India ( Fazl),Q29026669
ARTIC-180dae61-d73b-4834-3492-6cb20582ef09,"Kano Motonobu (Japanese, 1476-1559)",Q1078015
ARTIC-1865cfaa-51b3-8916-56eb-6b57cf95c772,"Frans Francken II (Flemish, 1581-1642)",Q1442507
ARTIC-188eea59-6ece-6197-affb-11445318077b,"Ren Yi (Chinese, 1840-1895)",Q3028266
ARTIC-18927d13-d974-1c0f-6af5-1d6501444b58,"Xia Kui 夏葵 (Chinese, 15th century)",Q45466595
ARTIC-18ab0c35-e35c-0216-9afd-f93357920db1,"George Wesley Bellows (American, 1882-1925)",Q167132
ARTIC-18adfd19-6c76-989e-36ae-1343aa15701b,"David Teniers, the Younger (Flemish, 1610-1690)",Q335022
ARTIC-18bf4909-8fb1-1971-4256-9945d712a279,"Thomas Sully (American, born England, 1783-1872)",Q786545
ARTIC-18f7ef62-e0be-ce73-4e17-ed6ae3388cfd,Tibet,
ARTIC-1907f3c5-e868-cf70-28c4-fd537fdc5a7e,Artist Unknown (Japan),
ARTIC-19110464-eec1-5e0a-7015-1972f63b9f07,"Francesco Solimena (Italian, 1657-1747)",Q736065
ARTIC-1914a6cb-8ec7-064e-4c99-de41637f889c,Artist unknown (Japanese),
ARTIC-194674a2-f451-65f7-ba46-6aac4d894f0b,"Dante Gabriel Rossetti (English, 1828-1882)",Q186748
ARTIC-19967481-f358-3d6d-781e-9aa9187d6007,"Eugène Carrière (French, 1849–1906)",Q461464
ARTIC-199b5d9f-92ce-78b2-85f7-d731a786da51,"Jean Victor Bertin (French, 1775–1842)",Q331884
ARTIC-19a1413d-52f9-519e-22e6-d9ed9c5b6dfb," Tang Yin 唐寅 (Chinese, 1470-1523)",Q2248916
ARTIC-19b940dd-bb34-8ce7-601a-cb3fa1010f97,"Johann Koerbecke (German, about 1420-1490)",Q940505
ARTIC-19cf5f83-6040-407e-992e-95a71374550f,"Master of Apollo and Daphne (Italian, active c. 1480-1510)",Q21890482
ARTIC-19d1878d-943a-d47f-c32e-2ce56f917bc2,"Imitator of Titian (Tiziano Vecelli; Italian, c. 1485/90–1576)",
ARTIC-19f0e672-2924-b42b-70af-d28ff46f23cc,"Giovanni Battista Tiepolo (Italian, 1696-1770)",Q186202
ARTIC-1a0094e1-1631-35b7-2c2b-af36ba75b162,"Sheldon Peck (American, 1797-1868)",Q16065702
ARTIC-1a087ef7-8455-e5d0-0b2b-9738cd33058c,"Édouard Manet (French, 1832-1883)",Q40599
ARTIC-1a0b480a-7bb3-587a-2461-4cbd3ed2508d,"Adolphe-Joseph-Thomas Monticelli (French, 1824-1886)",Q1152965
ARTIC-1a1b74fe-ff2a-8991-0581-5d420f0b840e,"Pierre-Auguste Renoir (French, 1841-1919)",Q39931
ARTIC-1a553c42-b76c-eb08-52e2-7bc343838eea,"Soga Shōhaku 曾我 蕭白 (Japanese, 1730-1781)",Q3076703
ARTIC-1aa11ac3-944e-93b7-da42-79af1fce71c1,"Walter Shirlaw (American, born Scotland, 1838-1909)",Q7966127
ARTIC-1b03fde4-b8ee-bf14-b084-caeb4e9f69d8,"India (Rajasthan, Mewar)",
ARTIC-1b09b81c-d793-e6f9-7862-8770be502f7b,"Pierre Charles Trémolières (French, 1703-1739)",Q2093300
ARTIC-1b2f28c5-4dcd-20fd-e400-40b3b6bc986b,"Ni Zan 倪瓚 (Chinese, 1301–1374)",Q731030
ARTIC-1b5b2c7a-972a-0489-a352-afbd8b7b9151,Eastern Tibet,
ARTIC-1b605198-afe5-1052-3c7b-0c08734238e1," Domenico Gargiulo (Micco Spadaro; Italian, 1609–1675)",Q1170226
ARTIC-1b6ea95a-7fdd-2fd5-d671-7a0eff5692a3,"Li Shizhuo (Chinese, 1690-1770)",
ARTIC-1bb08195-44b0-030c-c610-9fb6bb45e9b0,Flemish,
ARTIC-1bc44619-6b1d-5398-cf41-f4af38f6e17f,"Pierre Andrieu (French, 1821-1892)",Q15962367
ARTIC-1bdba183-8dfc-4e43-e8e2-70ad0e0f1647,Flemish (Antwerp?),
ARTIC-1beaf23d-8816-7ae7-12cf-aca6f0be9315,"India (Rajasthan, Jaipur)",
ARTIC-1bf7217a-0230-5159-39da-dd22a1744bf1,"Abraham Storck (Dutch, 1644-1710)",Q330635
ARTIC-1c2d32a7-790c-501a-e124-00f28cf5052d,"Jean-Baptiste-Camille Corot (French, 1796–1875)",Q148475
ARTIC-1c8c83cd-676f-dbd2-cd54-c61667c2386b,"India (Designed by Kanha (fl. c.1580-early 1590s), painted by Mansur (fl. c.1590-1630))",
ARTIC-1cce62e4-6786-e1ff-e570-8d78183d9c1b,"Giovanni di Paolo (Italian, 1398–1482)",Q946420
ARTIC-1cddae1c-99d5-462f-4aa6-128c0732ac11,"Raphaelle Peale (American, 1774-1825)",Q1374536
ARTIC-1cdde17f-3a93-7d76-4c3a-0dee432f86f8,"George Inness (American, 1825–1894)",Q704868
ARTIC-1d0775a8-a9d7-ca36-16cb-6a32e14c3b68,"John Singleton Copley (American, 1738–1815)",Q316016
ARTIC-1d3a275d-45dd-6026-b6ed-d7d8df417a3d,"Vincent van Gogh (Dutch, 1853–1890)",Q5582
ARTIC-1d820e91-2d4c-90ff-d9b3-6bb7bb329242,"Julian Alden Weir (American, 1852-1919)",Q1284220
ARTIC-1d9d6627-ce60-028f-51d2-5522dea3beea,North Netherlandish,
ARTIC-1dae4ac9-d33c-56e4-06d5-985b6be3898c,"Cornelis Cornelisz van Haarlem (Dutch, 1562–1638)",Q442484
ARTIC-1db67905-d421-95bf-1e91-4b60dd776886,"Georges Seurat (French, 1859-1891)",Q34013
ARTIC-1dcfafd2-69db-a56f-7fb3-0becc632ffa7,Tsukioka Yoshitoshi (Japanese (1839-1892)),Q467337
ARTIC-1dec252a-a3bd-aa36-8085-96eba58cdf07,"William Turner Dannat (American, 1853-1929)",Q8019585
ARTIC-1e0419eb-fba3-de0b-585a-c324c825d7d2,"Johann Georg von Dillis (German, 1759-1841)",Q21403107
ARTIC-1e0cda1e-d7e4-d144-4eda-dff8a9a5b396,"Giovanni di Paolo (Italian, 1398–1482)",Q946420
ARTIC-1e20645b-8935-70b9-0e56-11de72066c35,"Pietro Longhi (Italian, 1702-1785)",Q447058
ARTIC-1e92bc76-86f8-3b85-740c-af8dc6a9cd2f,India,
ARTIC-1e9f9590-0b04-6d2b-586e-97c0d3765b40,"Artist unknown (Spurious attribution to Qiu Ying (Chinese,1495-1551))",
