,tag_id,artwork_id
10189,1,TCMA-d4f9b1db-49ff-4337-9589-b7dccf39d071
386,1,ARTIC-37a27b5f-013a-87d2-1dc5-5ccbb08cca3f
6270,1,MET-8ad55698-1d59-4917-aa71-3f6b64c8dee9
10188,1,TCMA-58da577b-f3dc-47dc-8ea2-cfbdcf2daa14
10186,1,TCMA-63059c47-482c-431f-ad5e-13c2e04d6d57
11845,1,TCMA-d0995d81-2041-4f36-ade9-a31cbec7b739
7874,1,MET-3ebef531-90a0-4c3b-98ae-663213b2b802
5490,1,MET-049ead73-6c10-4caa-aac2-04b822d0cd37
10185,1,TCMA-79b82c22-98ea-4a04-b831-6b7a0aaa4e35
11846,1,TCMA-1bdab553-6013-424f-a408-caa91466f8d1
1484,1,ARTIC-debf5973-c53b-0292-9392-c494b034c90d
5062,1,MET-22e91346-91c5-4ef2-a011-e53ab1d0a42d
10184,1,TCMA-812d9c45-6cef-42bc-b9ef-b2abca2b38a1
5491,1,MET-b9ebdd9f-a815-4da9-905e-a0a33949dabd
7877,1,MET-6519cd0f-20bd-4690-93a6-d02528d5fa76
10183,1,TCMA-746ca277-e1d0-44ba-8bd8-2fdc4c0ccf13
2955,1,NGA-85f2142e-1b34-4e75-a077-62de44276f88
10182,1,TCMA-bcef62e9-641d-4680-9ff6-a676b0455546
5492,1,MET-1eacace1-0d4d-4462-a36f-9ab4fc4211ed
7873,1,MET-08b843b9-7ea1-43eb-a814-fbbb5179898b
384,1,ARTIC-376e0214-6839-c605-58c0-2affc34c4605
11844,1,TCMA-a1c46ccd-bf63-4148-9c38-53338e58d6dc
2959,1,NGA-864a6ff6-e641-401a-aab9-729cdcc31892
4473,1,MET-e85fa4c3-5175-4ad8-af5b-07992a1df8c3
7865,1,MET-ed98dbb6-a6c2-4443-ba6b-df44fa153764
10201,1,TCMA-6de751a3-f427-4b1e-a57b-d88ca3dd0bfe
5486,1,MET-54b7bc9c-18e2-4b2d-9379-92d90d4474e1
1475,1,ARTIC-dd91d801-7155-a7ee-bfb5-70b94e43e100
11841,1,TCMA-0a4b7d93-bfb6-455a-b393-3af3871b21e5
10199,1,TCMA-9471f49e-98f9-44ea-a2c1-4110c518682a
4107,1,NGA-fdcff778-eb4c-4234-abce-0991ee578a25
1476,1,ARTIC-ddabac10-c2ca-95ce-73fe-f568bb59e9e3
6763,1,MET-923b4274-e79a-489e-99a1-6e52b09fdd48
