artist_id,display_name,birth_year,death_year,nationality
TCMA-16928,"Aqil Khan (Indian, active mid-1700s)",None,None,Indian
TCMA-6266,"Wu Bin (Chinese, active c. 1591–1626)",None,None,Chinese
TCMA-6274,"Chen Hongshou (Chinese, 1598/99–1652)",1598,1652,Chinese
TCMA-2451,"David Teniers (Flemish, 1610–1690)",1610,1690,Flemish
TCMA-22770,"Juran (Chinese, active 960–985)",None,None,Chinese
TCMA-5979,"Sōami (Japanese, d. 1525)",None,1525,Japanese
TCMA-8972,"Félix Vallotton (Swiss French, 1865–1925)",1865,1925,Swiss French
TCMA-2355,"Bartolomeo Veneto (Italian, 1531)",None,1531,Italian
TCMA-3288,"Chaïm Soutine (Russian, 1893–1943)",1893,1943,Russian
TCMA-2703,"Eastman Johnson (American, 1824–1906)",1824,1906,American
TCMA-2475,"Richard Parkes Bonington (British, 1802–1828)",1802,1828,British
TCMA-1902,"Nicolas de Largillière (French, 1656–1746)",1656,1746,French
TCMA-6966,"Govardhan (Indian, active c.1596–1645)",None,None,Indian
TCMA-23744,"Tao Cheng (Chinese, active c. 1471–after 1502)",None,None,Chinese
TCMA-2611,"Henry Raeburn (Scottish, 1756–1823)",1756,1823,Scottish
TCMA-31109,"Fitz Henry Lane (American, 1804–1865)",1804,1865,American
TCMA-64402,"Shravana (Indian, active 1550s–c.1600)",None,None,Indian
TCMA-63480,"Lal (Indian, active c. 1555–1600)",None,None,Indian
TCMA-1568,"Eugène Boudin (French, 1824–1898)",1824,1898,French
TCMA-4415,"Carl Gaertner (American, 1898–1952)",1898,1952,American
TCMA-2386,"Francisco de Goya (Spanish, 1746–1828)",1746,1828,Spanish
TCMA-11246,"Wang Yuan (Chinese, c. 1299-after 1366)",None,1371,Chinese
TCMA-2053,"Sandro Botticelli (Italian, 1444/45–1510)",1444,1510,Italian
TCMA-2145,"Amedeo Modigliani (Italian, 1884–1920)",1884,1920,Italian
TCMA-2855,"Franz Ludwig Catel (German, 1778–1856)",1778,1856,German
TCMA-16934,"Hashim (Indian, active 1598-c.1650)",None,None,Indian
TCMA-1739,"Eugène Carrière (French, 1849–1906)",1849,1906,French
TCMA-34467,"Zhao Yong (Chinese, c. 1289-c. 1362)",1289,1362,Chinese
TCMA-2029,"Bernardo Bellotto (Italian, 1721–1780)",1721,1780,Italian
TCMA-1819,"Alfred Sisley (French, 1840–1899)",1840,1899,French
TCMA-63387,"Augustus Leopold Egg (British, 1816-c. 1863)",1816,1863,British
TCMA-1697,"Anne-Louis Girodet de Roucy-Trioson (French, 1767–1824)",1767,1824,French
TCMA-31445,"Wang Mian (Chinese, 1287–1359)",1287,1359,Chinese
TCMA-3083,"Harold Gilman (British, 1876–1919)",1876,1919,British
TCMA-2376,"Agustín Esteve y Marques (Spanish, 1753–c. 1820)",1753,1820,Spanish
TCMA-40892,"Kano Mitsunobu (Japanese, 1565–1608)",1565,1608,Japanese
TCMA-11254,"Zhao Zhong (Chinese, second half of the 1300s)",1345,1405,Chinese
TCMA-57469,"Cornelis de Heem (Flemish, 1631–1695)",1631,1695,Flemish
TCMA-1899,"Corneille de Lyon (Netherlandish, 1500/10–1574)",1500,1574,Netherlandish
TCMA-23637,"Cui Zizhong (Chinese, 1574–1644)",1574,1644,Chinese
TCMA-22786,"Qiu Ying (Chinese, 1494–1552)",1494,1552,Chinese
TCMA-23290,"Wu Li (Chinese, 1632–1718)",1632,1718,Chinese
TCMA-11217,"Xu Ben (Chinese, 1335–1380)",1335,1380,Chinese
TCMA-23552,"Ding Yunpeng (Chinese, 1547-c. 1628)",1547,1628,Chinese
TCMA-59472,"Jan Verkade (Dutch, 1868–1946)",1868,1946,Dutch
TCMA-23284,"Cheng Zhengkui (Chinese, 1604–1676)",1604,1676,Chinese
TCMA-6236,"Li Song (Chinese, active c. 1190-c. 1230)",None,None,Chinese
TCMA-6362,"Basavana (Indian, active c. 1560–1600)",None,1600,Indian
TCMA-344438,"Kaihō Yūshō (Japanese, 1533–1615)",1533,1615,Japanese
TCMA-2796,"Frans Francken (Flemish, 1581–1642)",1581,1642,Flemish
TCMA-2838,"Joachim Anthoniz Wtewael (Dutch, 1566–1638)",1566,1638,Dutch
TCMA-63368,"Ford Madox Brown (British, 1821–1893)",1821,1893,British
TCMA-2786,"John Martin (British, 1789–1854)",1789,1854,British
TCMA-6289,"Dai Jin (Chinese, 1388–1462)",1388,1462,Chinese
TCMA-22791,"Yin Hong (Chinese, c. 1430-c. 1500)",1425,1505,Chinese
TCMA-2670,"Gillis van Coninxloo (Netherlandish, 1544–1607)",1544,1607,Netherlandish
TCMA-2336,"Jacopo Tintoretto (Italian, 1518–1594)",1518,1594,Italian
TCMA-2908,"Hendrik van Balen (Flemish, 1575–1632)",1575,1632,Flemish
TCMA-665064,"Liu Tao (Chinese, late 1000s–early  1100s)",1066,1133,Chinese
TCMA-2650,"Jan van Goyen (Dutch, 1596–1656)",1596,1656,Dutch
TCMA-40169,"Vilhelm Hammershøi (Danish, 1864–1916)",1864,1916,Danish
TCMA-26343,"Gustave Caillebotte (French, 1848–1894)",1848,1894,French
TCMA-6169,"Watanabe Kazan (Japanese, 1793–1841)",1793,1841,Japanese
TCMA-35432,"Kaihō Yūshō (Japanese, 1533–1615)",1533,1615,Japanese
TCMA-304041,"Li You (Chinese, active c. 1145)",1100,1199,Chinese
TCMA-315367,"Ustad Murad (Indian, active 1700s)",None,None,Indian
TCMA-359247,"Johan Christian Clausen Dahl (Norwegian, 1788–1857)",1788,1857,Norwegian
TCMA-2882,"Gerard de Lairesse (Flemish, 1641–1711)",1641,1711,Flemish
TCMA-2526,"Gerard David (Netherlandish, 1450/60–1523)",1450,1523,Netherlandish
TCMA-11285,"Ogata Kōrin (Japanese, 1658–1716)",1658,1716,Japanese
TCMA-31469,"Zhao Guangfu (Chinese, c. 923–976)",917,981,Chinese
TCMA-6261,"Jueji Yongzhong (Chinese, active around 1300)",None,None,Chinese
TCMA-3324,"Julian Alden Weir (American, 1852–1919)",1852,1919,American
TCMA-1827,"Suzanne Valadon (French, 1865–1938)",1865,1938,French
TCMA-35484,"Sakai Hōitsu (Japanese, 1761–1828)",1761,1828,Japanese
TCMA-39485,"Zhao Qi (Chinese, active early 1500s)",None,None,Chinese
TCMA-31390,"Huang Shen (Chinese, 1687–after 1768)",1687,1772,Chinese
TCMA-6178,"Matsumura Goshun (Japanese, 1752–1811)",1752,1811,Japanese
TCMA-2103,"Carlo Crivelli (Italian, 1430/35–1495)",1430,1495,Italian
TCMA-2194,"Giovanni Battista Langetti (Italian, 1635–1676)",1635,1676,Italian
TCMA-2941,"Dirck Dircksz. Santvoort (Dutch, 1610/11–1680)",1610,1680,Dutch
TCMA-2627,"Geertgen tot Sint Jans (Netherlandish, c. 1460-c. 1490)",1460,1490,Netherlandish
TCMA-2829,"Jan Gossaert (Flemish, c. 1475/78–1532)",1475,1532,Flemish
TCMA-53017,"Henri Le Sidaner (French, 1862–1939)",1862,1939,French
TCMA-5994,"Kano Shōei (Japanese, 1519–1592)",1519,1592,Japanese
TCMA-22799,"Tosa Mitsuyoshi (Japanese, 1539–1613)",1539,1613,Japanese
TCMA-1612,"Horace Vernet (French, 1789–1863)",1789,1863,French
TCMA-25607,"Max Beckmann (German, 1884–1950)",1884,1950,German
TCMA-31207,"Yun Shouping (Chinese, 1633–1690)",1633,1690,Chinese
TCMA-31387,"Fan Yi (Chinese, c. 1615–before 1688)",1610,1688,Chinese
TCMA-63542,"Bichitr (Indian, active c. 1615–50)",None,None,Indian
TCMA-2726,"Herri met de Bles (Flemish, 1510–1572)",1510,1572,Flemish
TCMA-23259,"Shi Rui (Chinese, c. 1400-c. 1470)",1400,1475,Chinese
TCMA-2088,"Bernardo Cavallino (Italian, 1616–1656)",1616,1656,Italian
TCMA-1888,"François Boucher (French, 1703–1770)",1703,1770,French
TCMA-2682,"Franz Anton Maulbertsch (Austrian, 1724–1796)",1724,1796,Austrian
TCMA-370114,"Tommaso d’Antonio Manzuoli, called Maso da San Friano (Italian, 1531–1571)",1531,1571,Italian
TCMA-2166,"Pier Francesco Foschi (Italian, 1502–1567)",1502,1567,Italian
TCMA-6341,"Mei Qing (Chinese, 1623–1697)",1623,1697,Chinese
TCMA-63462,"Abd al-Samad (Persian, c. 1510–1600)",1510,1600,Persian
TCMA-2191,"Jacometto Veneziano (Italian, 1497)",None,1497,Italian
TCMA-2002,"Jean-Honoré Fragonard (French, 1732–1806)",1732,1806,French
TCMA-6317,"Shitao (Chinese, 1642–1707)",1642,1707,Chinese
TCMA-11228,"Wen Boren (Chinese, 1502–1575)",1502,1575,Chinese
TCMA-368701,"Yintuoluo (Chinese, c. 1285-c. 1355)",1280,1360,Chinese
TCMA-38732,"Dirck van Baburen (Dutch, c. 1595–1624)",1595,1624,Dutch
TCMA-37223,"Frédéric Bazille (French, 1841–1870)",1841,1870,French
TCMA-2060,"Francesco Botticini (Italian, c. 1446–1497)",1446,1497,Italian
TCMA-2206,"Lorenzo da Sanseverino (Italian, 1468–1500)",1468,1500,Italian
TCMA-11212,"Wang Meng (Chinese, c. 1308–1385)",1308,1385,Chinese
TCMA-31453,"Liu Shanshou (Chinese, active 1300s)",None,None,Chinese
TCMA-23262,"Lan Ying (Chinese, 1585–after 1664)",1585,1669,Chinese
TCMA-31221,"Kuncan (Chinese, 1612-c. 1673)",1612,1678,Chinese
TCMA-23557,"Shen Zhou (Chinese, 1427–1509)",1427,1509,Chinese
TCMA-6969,"Dharam Das (Indian, active c. 1580–1605)",None,None,Indian
TCMA-6241,"Liu Songnian (Chinese, c. 1150-after 1225)",1150,1230,Chinese
TCMA-7625,"Ike Taiga (Japanese, 1723–1776)",1723,1776,Japanese
TCMA-315389,"Kan Tenju (Japanese, 1727–1795)",1727,1795,Japanese
TCMA-6187,"Kawanabe Kyōsai (Japanese, 1831–1889)",1831,1889,Japanese
TCMA-2965,"Franz Xaver Winterhalter (German, 1805–1873)",1805,1873,German
TCMA-2852,"Adriaen Coorte (Dutch, 1660–1707)",1660,1707,Dutch
TCMA-381102,"Nagasawa Rosetsu (Japanese, 1754–1799)",1754,1799,Japanese
TCMA-31397,"Li Shan (Chinese, c. 1686–1762)",1686,1762,Chinese
TCMA-51019,"Eugène Jansson (Swedish, 1862–1915)",1862,1915,Swedish
TCMA-23580,"Zha Shibiao (Chinese, 1615–1698)",1615,1698,Chinese
TCMA-31379,"Jiao Bingzhen (Chinese, active c. 1670–1726)",None,None,Chinese
TCMA-6172,"Shibata Zeshin (Japanese, 1807–1891)",1807,1891,Japanese
TCMA-31114,"Wen Zhengming (Chinese, 1470–1559)",1470,1559,Chinese
TCMA-1782,"Paul Guigou (French, 1834–1871)",1834,1871,French
TCMA-11236,"Ma Yuan (Chinese, c. 1150-after 1255)",1150,1255,Chinese
TCMA-1736,"Léon Bonnat (French, 1833–1922)",1833,1922,French
TCMA-2296,"Sassetta (Italian, 1392–1450)",1392,1450,Italian
TCMA-22859,"Liu Jie (Chinese, c. 1447–1520s)",1442,None,Chinese
TCMA-6071,"Yosa Buson (Japanese, 1716–1783)",1716,1783,Japanese
TCMA-23421,"Fujimaro (Japanese, d. 1830)",None,1830,Japanese
TCMA-2709,"Anton Raphael Mengs (German, 1728–1779)",1728,1779,German
TCMA-2341,"Titian (Italian, c. 1488–1576)",1488,1576,Italian
TCMA-2954,"Lawrence Alma-Tadema (British, 1836–1912)",1836,1912,British
TCMA-35627,"Soga Shōhaku (Japanese, 1730–1781)",1730,1781,Japanese
TCMA-47729,"François LePage (French, 1796–1871)",1796,1871,French
TCMA-29716,"Pierre Guérin (French, 1774–1833)",1774,1833,French
TCMA-2573,"Hans Mielich (German, 1516–1573)",1516,1573,German
TCMA-6037,"Watanabe Shikō (Japanese, 1683–1755)",1683,1755,Japanese
TCMA-31450,"Zhang Yuehu (Chinese, active 1200s)",None,None,Chinese
TCMA-31474,"Liang Kai (Chinese, mid-1100s-early 1200s)",None,None,Chinese
TCMA-33538,"Fan Qi (Chinese, 1616–after 1694)",1616,1694,Chinese
TCMA-2949,"John Faed (Scottish, 1820–1902)",1820,1902,Scottish
TCMA-1994,"Simon Vouet (French, 1590–1649)",1590,1649,French
TCMA-6251,"Yao Tingmei (Chinese, active mid-1300s)",1300,1375,Chinese
TCMA-2315,"Francesco Solimena (Italian, 1657–1747)",1657,1747,Italian
TCMA-63465,"Dasavanta (Indian, d. 1584)",None,1584,Indian
